Time Elapsed (ms),X,Y,Action
651,1015,144,mousemove
658,992,153,mousemove
665,973,158,mousemove
672,958,164,mousemove
680,946,169,mousemove
686,936,173,mousemove
693,926,176,mousemove
705,918,180,mousemove
708,912,182,mousemove
714,906,185,mousemove
721,901,187,mousemove
730,897,189,mousemove
736,893,193,mousemove
742,889,196,mousemove
750,886,198,mousemove
757,882,203,mousemove
764,879,205,mousemove
772,877,208,mousemove
780,875,209,mousemove
785,874,211,mousemove
792,872,213,mousemove
807,871,213,mousemove
815,871,214,mousemove
830,870,214,mousemove
843,870,215,mousemove
857,870,216,mousemove
871,869,216,mousemove
880,869,217,mousemove
893,868,217,mousemove
1447,863,219,mousemove
1454,852,222,mousemove
1460,840,228,mousemove
1468,826,233,mousemove
1474,816,239,mousemove
1482,799,248,mousemove
1489,782,261,mousemove
1497,763,276,mousemove
1503,747,292,mousemove
1510,730,312,mousemove
1518,718,326,mousemove
1525,706,341,mousemove
1531,698,351,mousemove
1539,692,362,mousemove
1547,685,369,mousemove
1553,681,378,mousemove
1560,677,385,mousemove
1567,675,390,mousemove
1574,673,395,mousemove
1581,672,399,mousemove
1588,670,406,mousemove
1596,668,413,mousemove
1603,667,422,mousemove
1610,665,434,mousemove
1617,665,445,mousemove
1624,664,457,mousemove
1632,664,469,mousemove
1638,663,480,mousemove
1646,663,490,mousemove
1653,663,501,mousemove
1659,663,507,mousemove
1666,663,514,mousemove
1674,663,520,mousemove
1681,664,523,mousemove
1687,665,525,mousemove
1696,666,528,mousemove
1702,666,530,mousemove
1709,667,532,mousemove
1716,668,534,mousemove
1723,669,535,mousemove
1731,671,536,mousemove
1737,673,538,mousemove
1746,678,542,mousemove
1752,680,543,mousemove
1759,683,545,mousemove
1766,686,547,mousemove
1773,689,550,mousemove
1780,694,552,mousemove
1787,696,553,mousemove
1794,699,556,mousemove
1801,704,560,mousemove
1808,708,562,mousemove
1816,713,564,mousemove
1822,716,568,mousemove
1831,721,570,mousemove
1837,723,571,mousemove
1844,725,572,mousemove
1851,728,573,mousemove
1858,730,575,mousemove
1865,731,576,mousemove
1872,732,578,mousemove
1880,735,578,mousemove
1887,737,581,mousemove
1893,738,582,mousemove
1901,743,586,mousemove
1907,747,590,mousemove
1915,752,597,mousemove
1922,758,603,mousemove
1930,764,611,mousemove
1936,771,619,mousemove
1943,777,628,mousemove
1950,781,634,mousemove
1957,786,640,mousemove
1965,790,645,mousemove
1972,793,649,mousemove
1980,795,652,mousemove
1986,797,653,mousemove
1993,798,655,mousemove
2000,799,657,mousemove
2007,800,657,mousemove
2015,801,658,mousemove
2021,802,658,mousemove
2030,804,659,mousemove
2043,805,660,mousemove
2050,807,660,mousemove
2071,811,659,mousemove
2079,812,659,mousemove
2086,816,659,mousemove
2092,819,658,mousemove
2101,825,657,mousemove
2108,829,655,mousemove
2122,836,654,mousemove
2123,843,651,mousemove
2129,849,649,mousemove
2135,855,646,mousemove
2142,861,644,mousemove
2149,866,640,mousemove
2156,870,639,mousemove
2165,875,637,mousemove
2171,878,633,mousemove
2178,882,632,mousemove
2185,886,629,mousemove
2192,889,624,mousemove
2199,895,621,mousemove
2206,898,618,mousemove
2215,904,613,mousemove
2220,909,608,mousemove
2227,915,603,mousemove
2235,921,597,mousemove
2242,926,590,mousemove
2248,932,585,mousemove
2255,936,578,mousemove
2263,942,572,mousemove
2270,945,567,mousemove
2277,947,560,mousemove
2284,950,556,mousemove
2291,953,549,mousemove
2298,955,545,mousemove
2305,956,539,mousemove
2314,957,532,mousemove
2320,958,525,mousemove
2327,958,519,mousemove
2334,958,508,mousemove
2341,957,497,mousemove
2349,954,485,mousemove
2355,949,465,mousemove
2363,945,447,mousemove
2369,941,428,mousemove
2385,933,408,mousemove
2391,924,388,mousemove
2391,911,364,mousemove
2401,897,343,mousemove
2409,885,321,mousemove
2415,871,297,mousemove
2420,855,275,mousemove
2426,837,253,mousemove
2433,822,233,mousemove
2440,805,213,mousemove
2448,789,195,mousemove
2455,769,172,mousemove
2463,752,156,mousemove
2469,736,141,mousemove
2475,724,130,mousemove
2483,714,121,mousemove
2490,705,112,mousemove
2498,696,105,mousemove
2504,688,99,mousemove
2511,683,95,mousemove
2518,676,92,mousemove
2525,671,88,mousemove
2533,666,86,mousemove
2540,662,84,mousemove
2547,659,84,mousemove
2554,657,82,mousemove
2561,654,81,mousemove
2568,651,81,mousemove
2575,650,80,mousemove
2582,649,80,mousemove
2589,647,80,mousemove
2597,647,79,mousemove
2604,645,79,mousemove
2611,644,79,mousemove
2618,642,79,mousemove
2625,641,79,mousemove
2632,638,79,mousemove
2639,636,80,mousemove
2647,634,80,mousemove
2653,629,82,mousemove
2660,626,82,mousemove
2667,623,82,mousemove
2674,620,83,mousemove
2682,619,83,mousemove
2689,616,84,mousemove
2697,615,84,mousemove
2704,613,85,mousemove
2710,612,85,mousemove
2717,611,86,mousemove
2724,607,87,mousemove
2732,604,88,mousemove
2739,601,91,mousemove
2747,596,94,mousemove
2753,589,96,mousemove
2760,583,101,mousemove
2767,577,104,mousemove
2774,570,108,mousemove
2781,565,112,mousemove
2788,559,116,mousemove
2796,554,119,mousemove
2803,548,122,mousemove
2809,545,124,mousemove
2817,543,126,mousemove
2824,538,129,mousemove
2831,536,131,mousemove
2838,532,133,mousemove
2847,530,135,mousemove
2852,528,138,mousemove
